,Airline_Fares_CPI,Brent_Oil,USD_EUR,log_Airline_Fares_CPI,log_Brent_Oil,log_USD_EUR
2015-06-01,298.839,62.62,1.1226,5.699904966829749,4.1370847158982595,0.11564742352596191
2015-07-01,294.099,56.8295652173913,1.0997,5.683916445350157,4.0400567046971725,0.09503741533475163
2015-08-01,291.307,47.53380952380952,1.1136,5.674377693886075,3.8614412372943643,0.10759801059801807
2015-09-01,287.452,48.03045454545455,1.1229,5.661055889776875,3.8718352794140576,0.11591462459635593
2015-10-01,291.034,48.90636363636364,1.1228,5.67344009883438,3.8899075237268668,0.1158255655055904
2015-11-01,293.715,45.0952380952381,1.0727,5.6826099094234,3.808776655462655,0.0701788346212465
2015-12-01,291.963,38.52521739130435,1.0889,5.676627081910829,3.6513130240534473,0.0851680123698782
2016-01-01,289.611,32.0452380952381,1.0855,5.668538643215624,3.467148594956302,0.0820407103362094
2016-02-01,286.419,33.76238095238095,1.1092,5.657455773668161,3.519347193081594,0.10363903475948588
2016-03-01,286.501,39.79217391304348,1.1134,5.657742026550099,3.68367025760446,0.10741839676727029
2016-04-01,291.228,43.33047619047619,1.1346,5.6741064655462,3.7688562255477924,0.1262801659103298
2016-05-01,288.805,47.735,1.1312,5.665751719888193,3.8656648814499963,0.12327901616017124
2016-06-01,290.014,49.87727272727273,1.1232,5.669929197677347,3.9095654426384376,0.1161817542894096
2016-07-01,280.88,46.59857142857143,1.1055,5.637927531860177,3.8415698846224546,0.10029772131536387
2016-08-01,278.139,47.05217391304348,1.1207,5.628120988732288,3.851257069279485,0.11395349007584528
2016-09-01,275.578,47.37681818181818,1.1218,5.618870710118709,3.85813304117419,0.1149345380920994
2016-10-01,270.9,51.41380952380952,1.1014,5.6017497490910495,3.93990680415479,0.09658209784624401
2016-11-01,272.902,46.94227272727273,1.0792,5.609112756379266,3.8489186069600394,0.07622002591140901
2016-12-01,277.919,55.02272727272727,1.0545,5.627329704328578,4.007746323019798,0.05306672093669223
2017-01-01,280.879,55.71090909090909,1.0635,5.637923971614591,4.020175982171152,0.06156535565815473
2017-02-01,282.923,56.096,1.065,5.645174775815797,4.027064508738824,0.06297479916138839
2017-03-01,284.341,52.65521739130435,1.0691,5.650174222117736,3.9637653294215944,0.06681717303731709
2017-04-01,285.005,53.978,1.0714,5.652506723974408,3.9885765561439217,0.06896620446472282
2017-05-01,279.718,51.37434782608696,1.105,5.633781952802955,3.9391389783530886,0.09984533496971612
2017-06-01,277.107,47.65272727272727,1.1233,5.6244037131882605,3.863939863986503,0.11627078166538649
2017-07-01,274.97,49.25333333333333,1.153,5.616662000806635,3.8969770472228746,0.142367241286922
2017-08-01,270.846,51.92782608695652,1.1813,5.601550393672905,3.949854794606712,0.1666155269723372
